"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"p_AT3G57020.1";0.63;-0.52;0.21;0.2;-0.37
"p_AT3G57150.1";-0.89;-0.14;0.09;0.25;-0.02
"p_AT3G58450.1";0.85;0.13;0.12;0.21;-0.35
"p_AT3G58610.1";-0.45;0.59;-0.47;0.23;-0.31
"p_AT3G58680.1";0.37;0.31;0.52;0.62;0.03
"p_AT3G60340.1";-0.07;-0.85;-0.09;-0.2;-0.02
"p_AT3G60730.1";0.51;-0.77;0.18;0;0.23
"p_AT3G60750.1";0.42;0.46;0.34;-0.43;-0.17
"p_AT3G61220.1";0.89;0.32;-0.01;-0.17;-0.01
"p_AT3G62030.1";-0.01;0.43;-0.07;-0.27;0.13
"p_AT3G62120.1";-0.74;0.02;0.24;-0.11;0.11
"p_AT3G62730.1";0.32;-0.4;-0.19;-0.26;0.23
"p_AT3G63520.1";-0.43;-0.25;-0.06;-0.4;0.34
"p_AT4G01610.1";-0.72;0.34;-0.24;0.46;-0.07
"p_AT4G02280.1";0.7;0.11;0.29;0.24;0.35
"p_AT4G02340.1";-0.24;0.18;0.04;-0.26;-0.22
"p_AT4G02450.1";-0.73;0.38;0.37;0.26;0.17
"p_AT4G02510.1";-0.81;-0.32;0.02;0.06;0.12
"p_AT4G02520.1";0.78;0.01;-0.34;0.41;-0.03
"p_AT4G02930.1";-0.79;0.13;-0.34;0.2;-0.33
"p_AT4G03200.1";0.04;-0.35;0.28;0.01;-0.7
"p_AT4G04020.1";0.49;0.31;0.4;-0.41;0.03
"p_AT4G04460.1";0.23;-0.9;-0.04;-0.14;-0.1
"p_AT4G08390.1";0.85;-0.25;0.15;0.12;-0.23
"p_AT4G09320.1";0.56;0.22;-0.21;0.38;0.46
"p_AT4G09600.1";0.58;0.26;0.41;0.35;-0.07
"p_AT4G10020.1";-0.07;0.47;-0.03;-0.02;-0.38
"p_AT4G10320.1";-0.56;0.55;0.11;0.12;-0.01
"p_AT4G11010.1";-0.42;0.12;-0.42;-0.09;-0.23
"p_AT4G11150.1";0.91;0.09;0;0.19;0.01
"p_AT4G12130.1";-0.52;0.59;0.29;-0.17;0.37
"p_AT4G12290.1";0.08;-0.83;-0.02;-0.07;-0.13
"p_AT4G12420.1";0.07;-0.78;0.15;0.03;0.15
"p_AT4G13010.1";0.49;-0.51;0.09;-0.47;-0.13
"p_AT4G13200.1";-0.25;-0.3;0.42;-0.55;-0.1
"p_AT4G13850.1";-0.57;-0.12;-0.27;0.46;0.39
"p_AT4G13930.1";0.55;-0.16;0.18;0.02;-0.48
"p_AT4G13940.1";0.78;0.37;-0.34;0.18;0.21
"p_AT4G14160.1";-0.65;0.22;0.32;0.2;0.12
"p_AT4G14880.1";0.18;0.03;0.24;0.13;0.23
"p_AT4G15410.1";-0.79;-0.09;-0.06;-0.22;0.07
"p_AT4G15530.1";-0.84;-0.39;-0.15;0.09;0.08
"p_AT4G16155.1";0.64;-0.04;-0.17;0;-0.09
"p_AT4G16210.1";0.28;-0.28;-0.6;0.43;0.25
"p_AT4G16500.1";0.23;-0.56;0.14;0.62;0.24
"p_AT4G16690.1";0.19;-0.78;0.01;0.18;0.25
"p_AT4G16720.1";-0.71;-0.29;0.1;-0.13;-0.15
"p_AT4G16760.1";-0.14;0.79;0.01;-0.02;-0.15
"p_AT4G18920.1";0.89;-0.13;0.17;0.1;-0.19
"p_AT4G19810.1";-0.37;-0.7;0.15;-0.15;0.12
"p_AT4G20360.1";-0.37;0.79;-0.18;-0.07;-0.04
"p_AT4G20850.1";-0.74;-0.23;-0.13;0.02;-0.19
"p_AT4G21020.1";0.82;0.21;0.13;0.26;-0.2
"p_AT4G23100.1";0.92;0.22;-0.12;0.15;0.01
"p_AT4G24190.1";0.4;0.72;0.27;-0.1;-0.02
"p_AT4G24620.1";0.64;0.34;-0.24;-0.5;-0.09
"p_AT4G24800.1";-0.28;-0.38;-0.16;0.55;0.03
"p_AT4G24830.1";0.32;0.49;-0.03;-0.38;0
"p_AT4G25130.1";-0.18;-0.34;0.45;-0.01;0.34
"p_AT4G25140.1";0.56;0.22;0.24;0.33;0.32
"p_AT4G25580.1";-0.37;0.68;0.45;0.07;0.13
"p_AT4G25740.1";0.79;0.02;0.14;0.1;0.03
"p_AT4G26740.1";0.31;0.51;-0.07;0.03;0.65
"p_AT4G27090.1";-0.36;0.37;-0.19;-0.01;0.51
"p_AT4G27140.1";-0.43;0.62;0.34;0.04;-0.27
"p_AT4G27160.1";0.2;-0.13;0.08;-0.59;0.03
"p_AT4G27450.1";-0.85;0.35;-0.02;-0.01;-0.09
"p_AT4G27500.1";-0.53;-0.19;0.57;-0.4;0.05
"p_AT4G27520.1";-0.18;-0.61;0.09;0.13;0.37
"p_AT4G28520.1";0.27;0.42;0.2;0.4;-0.2
"p_AT4G29840.1";-0.46;0.72;0.06;0.32;-0.16
"p_AT4G30880.1";0.64;-0.46;0.38;0.42;0.12
"p_AT4G31490.1";-0.71;-0.15;0.1;-0.08;-0.01
"p_AT4G31700.1";-0.49;0.05;0.58;0.35;0.24
"p_AT4G32770.1";-0.42;0.26;0.62;-0.15;-0.15
"p_AT4G33090.1";0.67;0.62;-0.26;0.03;-0.01
"p_AT4G34480.1";0.07;-0.87;0.22;-0.12;0.15
"p_AT4G34670.1";-0.76;0.11;-0.01;0.23;-0.18
"p_AT4G34870.1";-0.34;-0.45;-0.13;0.1;-0.57
"p_AT4G35090.1";-0.69;0.41;0.07;0.19;-0.31
"p_AT4G35790.1";0.26;-0.79;-0.07;-0.14;0.18
"p_AT4G35830.1";-0.07;0.68;0.33;0.11;0.01
"p_AT4G36020.1";-0.2;0.02;0.31;0.49;0.08
"p_AT4G36195.1";-0.37;0.54;-0.21;-0.04;-0.38
"p_AT4G36360.1";0.67;-0.61;0.13;0.04;0.09
"p_AT4G36600.1";0.97;0.01;0.07;0.15;0.02
"p_AT4G36700.1";-0.85;0.14;0.07;-0.31;0.02
"p_AT4G37050.1";0.49;0.57;-0.03;-0.2;-0.09
"p_AT4G37870.1";-0.81;0.02;-0.38;0.39;-0.11
"p_AT4G38740.1";-0.02;0.02;0.17;0.01;-0.27
"p_AT4G38970.1";0.65;0.32;0.08;-0.31;-0.22
"p_AT4G39260.1";-0.63;0.5;0.04;0.42;0.06
"p_AT5G01300.1";-0.55;0.02;0.29;-0.17;-0.46
"p_AT5G01410.1";-0.65;0.15;-0.54;0.15;-0.1
"p_AT5G01670.1";0.9;0.19;-0.09;0.06;0.33
"p_AT5G02240.1";0.87;-0.13;-0.08;0.06;-0.19
"p_AT5G03740.1";-0.78;0.12;0.08;0.27;0.1
"p_AT5G03860.1";0.64;0.37;-0.4;0.47;0.04
"p_AT5G04430.1";-0.56;-0.29;-0.17;-0.08;-0.31
"p_AT5G04885.1";0.52;-0.77;0.07;0.01;0.26
"p_AT5G05010.1";-0.9;-0.14;0.21;0.01;-0.07
"p_AT5G06060.1";-0.18;-0.28;0.44;-0.05;0.26
"p_AT5G06760.1";-0.26;0.39;0.37;0.29;0.21
"p_AT5G07030.1";-0.39;-0.63;-0.35;-0.18;-0.13
"p_AT5G07190.2";0.27;-0.05;-0.3;0.08;-0.61
"p_AT5G07830.1";-0.52;-0.63;-0.08;-0.02;0.14
"p_AT5G08300.1";-0.47;0.14;0.36;0.08;0.35
"p_AT5G08670.1";-0.51;0.53;-0.12;0.07;-0.21
"p_AT5G09590.1";-0.85;0.06;0;0.14;-0.17
"p_AT5G09640.1";0.31;-0.74;-0.17;-0.48;-0.14
"p_AT5G09810.1";-0.58;0.32;0.31;-0.18;0.07
"p_AT5G10160.1";-0.42;0.03;0.18;-0.18;0.38
"p_AT5G10860.1";-0.3;0.74;-0.18;0.1;0.11
"p_AT5G11170.1";0.59;0.26;-0.64;0.13;0.06
"p_AT5G11520.1";-0.77;0.24;-0.28;0.39;-0.13
"p_AT5G11680.1";0.27;0.31;0.42;0.54;0.38
"p_AT5G12030.1";0.25;-0.15;0.41;0.35;0.27
"p_AT5G12040.1";0.8;-0.03;-0.18;-0.06;0.08
"p_AT5G12950.1";0.12;-0.91;-0.05;0.15;0.1
"p_AT5G13120.1";0.2;0.49;0.36;0.14;0.49
"p_AT5G13420.1";0.97;0.09;0.06;0.04;0.04
"p_AT5G13450.1";0.92;-0.1;-0.18;0.15;-0.01
"p_AT5G13520.1";0.25;0.17;-0.46;-0.45;0.19
"p_AT5G13980.1";-0.71;-0.11;0.3;0.2;0.1
"p_AT5G14030.1";0.25;-0.02;-0.23;-0.62;0.14
"p_AT5G14040.1";-0.35;0.51;-0.37;0.18;0.34
"p_AT5G14450.1";-0.42;0.1;-0.01;0.71;0.37
"p_AT5G14780.1";0.9;-0.28;-0.09;0.22;-0.09
