"";"Low mean";"Medium mean";"Elevated mean";"pvalue.anova";"pvalue.anova.adj";"Medium-Low";"Elevated-Low";"Elevated-Medium";"Low";"Medium";"Elevated"
"alpha.Tocopherol";"0.014";"0.014";"0.016";"4.29e-01";"5.46e-01";"9.15e-01";"4.16e-01";"6.27e-01";"a";"a";"a"
"beta.Sitosterol";"1.076";"1.08";"1.028";"4.11e-02";"8.41e-02";"9.65e-01";"7.10e-02";"5.17e-02";"a";"a";"a"
"Campesterol";"0.262";"0.273";"0.262";"5.48e-01";"6.49e-01";"6.03e-01";"1.00e+00";"6.03e-01";"a";"a";"a"
"gamma.Tocopherol";"0.254";"0.299";"0.316";"8.54e-05";"7.98e-04";"4.60e-04";"8.25e-05";"6.23e-02";"a";"b";"b"
"Tetracosanoate";"0.002";"0.001";"0.001";"2.84e-02";"5.99e-02";"3.44e-02";"5.50e-02";"9.22e-01";"b";"a";"ab"
"X4MTB";"0.087";"0.445";"0.957";"2.18e-06";"5.90e-05";"3.03e-04";"1.71e-06";"3.94e-05";"a";"b";"c"
"X5..methylthio.pentanenitrile";"0.236";"0.344";"0.387";"1.65e-02";"3.98e-02";"6.17e-02";"1.55e-02";"5.11e-01";"a";"ab";"b"
"X7MTH";"0.024";"0.093";"0.189";"7.08e-05";"7.36e-04";"6.30e-03";"5.69e-05";"1.20e-03";"a";"b";"c"
"X8MTO";"0.049";"0.136";"0.184";"5.52e-04";"2.76e-03";"4.72e-03";"4.73e-04";"6.55e-02";"a";"b";"b"
"BenzoylGlucosinolate.2Breakdown";"0.018";"0.019";"0.019";"4.15e-01";"5.33e-01";"5.01e-01";"4.53e-01";"9.95e-01";"a";"a";"a"
"BenzoylGlucosinolate.3Breakdown";"0.065";"0.053";"0.021";"1.24e-05";"1.85e-04";"1.71e-02";"1.16e-05";"6.87e-05";"c";"b";"a"
"BenzoylX.Glucosinolate.3";"0.047";"0.15";"0.142";"5.29e-04";"2.75e-03";"7.42e-04";"1.19e-03";"8.15e-01";"a";"b";"b"
"Hexanenitrile.6methylthio";"0.002";"0.003";"0.003";"6.67e-02";"1.19e-01";"1.85e-01";"6.27e-02";"6.88e-01";"a";"a";"a"
"Nonanenitrile.9.methylthio";"0.036";"0.027";"0.017";"1.11e-04";"8.69e-04";"4.38e-03";"8.74e-05";"3.36e-03";"c";"b";"a"
"Octanenitrile.8.methylthio";"0.017";"0.017";"0.015";"5.11e-01";"6.11e-01";"9.54e-01";"6.68e-01";"5.07e-01";"a";"a";"a"
"Sulfite";"0.015";"0.034";"0.072";"1.02e-04";"8.62e-04";"2.46e-02";"8.87e-05";"8.81e-04";"a";"b";"c"
"U2609.4.361";"0.011";"0.063";"0.071";"1.16e-04";"8.69e-04";"3.23e-04";"1.47e-04";"4.43e-01";"a";"b";"b"
"U3122.4.202.I3M.";"0.016";"0.072";"0.116";"7.66e-06";"1.32e-04";"1.65e-04";"5.61e-06";"7.20e-04";"a";"b";"c"
"UGlucosinolatebreakdown140.4";"0.003";"0.004";"0.005";"8.09e-03";"2.14e-02";"2.03e-01";"6.77e-03";"6.17e-02";"a";"ab";"b"
